date,symbol,open,high,low,close,volume
2022-04-28,DIA,313.32,318.52,311.19,317.25,50267
2022-04-29,DIA,316.08,317.2,307.88,308.37,80762
2022-05-02,DIA,309.35,310.65,303.62,309.36,62759
2022-05-03,DIA,309.55,311.81,307.93,309.91,50568
2022-05-04,DIA,310.23,319.1,308.94,318.55,88179
2022-05-05,DIA,316.07,316.36,305.92,308.95,80896
2022-05-06,DIA,306.52,309.1,304.02,307.87,92372
2022-05-09,DIA,304.06,305.18,300.74,301.68,81085
2022-05-10,DIA,305.54,306.37,298.66,301.1,125904
2022-05-11,DIA,301.09,304.97,297.65,297.87,93301
2022-05-12,DIA,296.24,298.74,292.46,297.21,82547
2022-05-13,DIA,299.5,301.99,298.36,301.52,36353
2022-05-16,DIA,300.83,304.34,299.39,301.82,34491
2022-05-17,DIA,305.81,305.99,302.76,305.55,38307
2022-05-18,DIA,303.16,303.16,294.15,295.03,60146
2022-05-19,DIA,291.99,295.8,290.88,292.92,62812
2022-05-20,DIA,294.87,294.87,287.71,293.11,33828
2022-05-23,DIA,295.69,299.68,295.21,299.01,19387
2022-05-24,DIA,297.47,300.11,294.14,299.23,38480
2022-05-25,DIA,298.09,302.31,297.72,301.06,32420
2022-05-26,DIA,303.6,307.23,303.6,306.04,36284
2022-05-27,DIA,306.55,311.38,306.46,311.35,36919
2022-05-31,DIA,309.63,311.62,307.3,309.59,64602
2022-06-01,DIA,312.08,312.17,306.05,307.86,27733
2022-06-02,DIA,308.15,311.9,305.4,311.88,46595
2022-06-03,DIA,309.29,310.81,308.41,308.82,52472
2022-06-06,DIA,311.0,311.88,308.2,309.09,24524
2022-06-07,DIA,306.63,311.64,306.48,311.43,38361
2022-06-08,DIA,309.96,311.14,308.13,308.84,34448
2022-06-09,DIA,307.57,309.24,302.98,302.98,37625
2022-06-10,DIA,298.14,298.55,294.99,294.99,68440
2022-06-13,DIA,288.43,290.15,285.24,286.68,100854
2022-06-14,DIA,287.49,288.05,283.14,285.34,37020
