date,symbol,open,high,low,close,volume
2021-12-14,MSFT,321.99,323.48,313.61,317.77,904692
2021-12-15,MSFT,317.99,324.3,314.15,323.29,720866
2021-12-16,MSFT,324.82,325.6,312.57,314.52,1129327
2021-12-17,MSFT,310.36,314.33,306.99,313.42,736017
2021-12-20,MSFT,309.56,312.3,307.35,309.72,673332
2021-12-21,MSFT,312.75,317.05,309.42,316.64,526040
2021-12-22,MSFT,317.52,322.75,315.25,322.6,674295
2021-12-23,MSFT,322.14,325.46,322.06,323.62,379963
2021-12-27,MSFT,324.76,331.26,324.61,331.26,359761
2021-12-28,MSFT,331.96,332.55,329.29,330.41,312407
2021-12-29,MSFT,330.46,333.06,328.69,330.98,349179
2021-12-30,MSFT,330.97,331.95,327.81,328.47,284320
2021-12-31,MSFT,327.61,328.27,324.95,325.36,390978
2022-01-03,MSFT,324.36,326.77,319.1,323.84,598231
2022-01-04,MSFT,323.65,323.88,315.55,318.41,900063
2022-01-05,MSFT,315.12,315.18,305.73,306.23,922442
2022-01-06,MSFT,302.9,308.32,301.47,303.71,1054331
2022-01-07,MSFT,303.78,306.14,300.05,303.73,533847
2022-01-10,MSFT,299.46,304.47,294.8,304.01,1017145
2022-01-11,MSFT,303.27,306.3,299.83,304.76,834619
2022-01-12,MSFT,309.28,312.87,306.79,307.92,725116
2022-01-13,MSFT,310.11,310.31,294.12,295.04,1044140
2022-01-14,MSFT,294.36,300.7,293.92,299.86,1072081
2022-01-18,MSFT,294.35,299.73,292.03,292.83,935688
2022-01-19,MSFT,296.35,303.65,292.88,293.17,1019607
2022-01-20,MSFT,299.22,301.43,291.36,291.72,815733
2022-01-21,MSFT,292.62,294.2,286.06,286.15,1322437
2022-01-24,MSFT,282.73,287.43,267.13,287.06,2351674
2022-01-25,MSFT,282.09,285.39,275.91,278.95,1909827
2022-01-26,MSFT,298.19,298.42,283.56,287.16,2287819
2022-01-27,MSFT,292.96,297.13,288.25,290.09,1170449
2022-01-28,MSFT,290.64,298.42,284.96,298.22,968610
2022-01-31,MSFT,298.84,302.22,296.62,300.63,1014892
2022-02-01,MSFT,300.45,300.49,295.23,298.51,755670
2022-02-02,MSFT,299.23,304.87,298.9,303.24,771267
2022-02-03,MSFT,299.58,301.11,290.4,291.52,1311940
2022-02-04,MSFT,290.47,298.75,290.28,296.06,577894
2022-02-07,MSFT,295.9,297.78,290.18,291.25,763373
2022-02-08,MSFT,291.46,295.62,290.22,294.44,474831
2022-02-09,MSFT,299.81,301.72,297.43,301.05,585344
2022-02-10,MSFT,293.7,298.95,290.94,292.42,1367449
2022-02-11,MSFT,293.39,294.38,284.71,285.33,889301
2022-02-14,MSFT,283.85,287.08,281.93,285.31,836434
2022-02-15,MSFT,290.29,291.0,287.43,290.56,647535
2022-02-16,MSFT,289.17,291.64,284.78,290.34,610233
2022-02-17,MSFT,287.0,287.67,281.22,281.92,796901
2022-02-18,MSFT,284.35,284.71,277.63,279.21,862318
2022-02-22,MSFT,276.15,282.65,275.85,279.0,891402
2022-02-23,MSFT,281.45,282.78,271.56,271.93,914145
2022-02-24,MSFT,264.28,286.09,263.29,285.61,1431610
2022-02-25,MSFT,285.9,288.49,282.84,288.39,811613
2022-02-28,MSFT,285.42,289.98,284.08,289.98,652117
2022-03-01,MSFT,287.36,290.76,283.3,286.13,707397
2022-03-02,MSFT,286.71,292.21,284.76,290.93,761362
2022-03-03,MSFT,293.67,293.75,285.12,286.86,615073
2022-03-04,MSFT,285.32,286.6,278.42,280.98,954619
2022-03-07,MSFT,279.93,280.81,270.12,270.4,1121890
2022-03-08,MSFT,269.53,275.24,261.77,267.27,1064614
2022-03-09,MSFT,274.8,280.76,272.24,279.4,787351
2022-03-10,MSFT,274.39,277.8,272.1,277.04,618421
